2025-06-19 09:43:57.928 +03:00 [INF] Ensuring database is created {"MachineName":"DESKTOP-F3AMJ10","ThreadId":1,"ProcessId":16296,"Application":"XYZ University Payment API","Environment":"Development"}
2025-06-19 09:43:57.941 +03:00 [INF] Database created successfully {"MachineName":"DESKTOP-F3AMJ10","ThreadId":1,"ProcessId":16296,"Application":"XYZ University Payment API","Environment":"Development"}
2025-06-19 09:43:58.506 +03:00 [INF] XYZ University Payment API started successfully {"MachineName":"DESKTOP-F3AMJ10","ThreadId":1,"ProcessId":16296,"Application":"XYZ University Payment API","Environment":"Development"}
2025-06-19 09:50:32.197 +03:00 [WRN] Failed to determine the https port for redirect. {"EventId":{"Id":3,"Name":"FailedToDeterminePort"},"SourceContext":"Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware","RequestId":"0HNDEVLD5CSLP:00000001","RequestPath":"/api/student","ConnectionId":"0HNDEVLD5CSLP","MachineName":"DESKTOP-F3AMJ10","ThreadId":22,"ProcessId":16296,"Application":"XYZ University Payment API","Environment":"Development"}
2025-06-19 09:50:40.664 +03:00 [INF] GetAllStudents endpoint called {"SourceContext":"xyz_university_payment_api.Controllers.StudentController","ActionId":"18d2d916-2940-49e8-8b85-6b4b9f94ff4c","ActionName":"xyz_university_payment_api.Controllers.StudentController.GetAllStudents (xyz-university-payment-api)","RequestId":"0HNDEVLD5CSLP:00000002","RequestPath":"/api/student","ConnectionId":"0HNDEVLD5CSLP","MachineName":"DESKTOP-F3AMJ10","ThreadId":22,"ProcessId":16296,"Application":"XYZ University Payment API","Environment":"Development"}
2025-06-19 09:50:40.670 +03:00 [INF] Retrieving all students {"SourceContext":"xyz_university_payment_api.Services.StudentService","ActionId":"18d2d916-2940-49e8-8b85-6b4b9f94ff4c","ActionName":"xyz_university_payment_api.Controllers.StudentController.GetAllStudents (xyz-university-payment-api)","RequestId":"0HNDEVLD5CSLP:00000002","RequestPath":"/api/student","ConnectionId":"0HNDEVLD5CSLP","MachineName":"DESKTOP-F3AMJ10","ThreadId":22,"ProcessId":16296,"Application":"XYZ University Payment API","Environment":"Development"}
2025-06-19 10:10:39.069 +03:00 [INF] NotifyPayment endpoint called with reference: REF123456 {"SourceContext":"xyz_university_payment_api.Controllers.PaymentController","ActionId":"953ebaf4-e600-4909-b89c-fec742d156db","ActionName":"xyz_university_payment_api.Controllers.PaymentController.NotifyPayment (xyz-university-payment-api)","RequestId":"0HNDEVLD5CSLR:00000001","RequestPath":"/api/payment/notify","ConnectionId":"0HNDEVLD5CSLR","MachineName":"DESKTOP-F3AMJ10","ThreadId":43,"ProcessId":16296,"Application":"XYZ University Payment API","Environment":"Development"}
2025-06-19 10:10:39.076 +03:00 [INF] Processing payment: REF123456 for student: S66002 {"SourceContext":"xyz_university_payment_api.Services.PaymentService","ActionId":"953ebaf4-e600-4909-b89c-fec742d156db","ActionName":"xyz_university_payment_api.Controllers.PaymentController.NotifyPayment (xyz-university-payment-api)","RequestId":"0HNDEVLD5CSLR:00000001","RequestPath":"/api/payment/notify","ConnectionId":"0HNDEVLD5CSLR","MachineName":"DESKTOP-F3AMJ10","ThreadId":43,"ProcessId":16296,"Application":"XYZ University Payment API","Environment":"Development"}
2025-06-19 10:10:39.340 +03:00 [INF] Payment processed successfully: REF123456 {"SourceContext":"xyz_university_payment_api.Services.PaymentService","ActionId":"953ebaf4-e600-4909-b89c-fec742d156db","ActionName":"xyz_university_payment_api.Controllers.PaymentController.NotifyPayment (xyz-university-payment-api)","RequestId":"0HNDEVLD5CSLR:00000001","RequestPath":"/api/payment/notify","ConnectionId":"0HNDEVLD5CSLR","MachineName":"DESKTOP-F3AMJ10","ThreadId":43,"ProcessId":16296,"Application":"XYZ University Payment API","Environment":"Development"}
2025-06-19 10:10:39.345 +03:00 [INF] Payment processed successfully: REF123456 {"SourceContext":"xyz_university_payment_api.Controllers.PaymentController","ActionId":"953ebaf4-e600-4909-b89c-fec742d156db","ActionName":"xyz_university_payment_api.Controllers.PaymentController.NotifyPayment (xyz-university-payment-api)","RequestId":"0HNDEVLD5CSLR:00000001","RequestPath":"/api/payment/notify","ConnectionId":"0HNDEVLD5CSLR","MachineName":"DESKTOP-F3AMJ10","ThreadId":43,"ProcessId":16296,"Application":"XYZ University Payment API","Environment":"Development"}
2025-06-19 10:11:29.739 +03:00 [INF] GetAllPayments endpoint called {"SourceContext":"xyz_university_payment_api.Controllers.PaymentController","ActionId":"c0d2264e-e4b2-4331-8c10-420ea307ee7e","ActionName":"xyz_university_payment_api.Controllers.PaymentController.GetAllPayments (xyz-university-payment-api)","RequestId":"0HNDEVLD5CSLR:00000002","RequestPath":"/api/payment","ConnectionId":"0HNDEVLD5CSLR","MachineName":"DESKTOP-F3AMJ10","ThreadId":43,"ProcessId":16296,"Application":"XYZ University Payment API","Environment":"Development"}
2025-06-19 10:11:29.743 +03:00 [INF] Retrieving all payments {"SourceContext":"xyz_university_payment_api.Services.PaymentService","ActionId":"c0d2264e-e4b2-4331-8c10-420ea307ee7e","ActionName":"xyz_university_payment_api.Controllers.PaymentController.GetAllPayments (xyz-university-payment-api)","RequestId":"0HNDEVLD5CSLR:00000002","RequestPath":"/api/payment","ConnectionId":"0HNDEVLD5CSLR","MachineName":"DESKTOP-F3AMJ10","ThreadId":43,"ProcessId":16296,"Application":"XYZ University Payment API","Environment":"Development"}
2025-06-19 10:12:47.589 +03:00 [INF] GetStudentByNumber endpoint called with number: S66002 {"SourceContext":"xyz_university_payment_api.Controllers.StudentController","ActionId":"b73011c9-1fc5-4a10-a183-a2bb648d6add","ActionName":"xyz_university_payment_api.Controllers.StudentController.GetStudentByNumber (xyz-university-payment-api)","RequestId":"0HNDEVLD5CSLT:00000001","RequestPath":"/api/student/number/S66002","ConnectionId":"0HNDEVLD5CSLT","MachineName":"DESKTOP-F3AMJ10","ThreadId":8,"ProcessId":16296,"Application":"XYZ University Payment API","Environment":"Development"}
2025-06-19 10:12:47.596 +03:00 [INF] Retrieving student with number: S66002 {"SourceContext":"xyz_university_payment_api.Services.StudentService","ActionId":"b73011c9-1fc5-4a10-a183-a2bb648d6add","ActionName":"xyz_university_payment_api.Controllers.StudentController.GetStudentByNumber (xyz-university-payment-api)","RequestId":"0HNDEVLD5CSLT:00000001","RequestPath":"/api/student/number/S66002","ConnectionId":"0HNDEVLD5CSLT","MachineName":"DESKTOP-F3AMJ10","ThreadId":8,"ProcessId":16296,"Application":"XYZ University Payment API","Environment":"Development"}
2025-06-19 10:18:16.057 +03:00 [INF] NotifyPayment endpoint called with reference: REF999999 {"SourceContext":"xyz_university_payment_api.Controllers.PaymentController","ActionId":"953ebaf4-e600-4909-b89c-fec742d156db","ActionName":"xyz_university_payment_api.Controllers.PaymentController.NotifyPayment (xyz-university-payment-api)","RequestId":"0HNDEVLD5CSLV:00000001","RequestPath":"/api/payment/notify","ConnectionId":"0HNDEVLD5CSLV","MachineName":"DESKTOP-F3AMJ10","ThreadId":32,"ProcessId":16296,"Application":"XYZ University Payment API","Environment":"Development"}
2025-06-19 10:18:16.063 +03:00 [INF] Processing payment: REF999999 for student: INVALID123 {"SourceContext":"xyz_university_payment_api.Services.PaymentService","ActionId":"953ebaf4-e600-4909-b89c-fec742d156db","ActionName":"xyz_university_payment_api.Controllers.PaymentController.NotifyPayment (xyz-university-payment-api)","RequestId":"0HNDEVLD5CSLV:00000001","RequestPath":"/api/payment/notify","ConnectionId":"0HNDEVLD5CSLV","MachineName":"DESKTOP-F3AMJ10","ThreadId":32,"ProcessId":16296,"Application":"XYZ University Payment API","Environment":"Development"}
2025-06-19 10:18:16.113 +03:00 [WRN] Student not found for payment: INVALID123 {"SourceContext":"xyz_university_payment_api.Services.PaymentService","ActionId":"953ebaf4-e600-4909-b89c-fec742d156db","ActionName":"xyz_university_payment_api.Controllers.PaymentController.NotifyPayment (xyz-university-payment-api)","RequestId":"0HNDEVLD5CSLV:00000001","RequestPath":"/api/payment/notify","ConnectionId":"0HNDEVLD5CSLV","MachineName":"DESKTOP-F3AMJ10","ThreadId":32,"ProcessId":16296,"Application":"XYZ University Payment API","Environment":"Development"}
2025-06-19 10:18:16.118 +03:00 [WRN] Payment processing failed: Payment received but student not found. {"SourceContext":"xyz_university_payment_api.Controllers.PaymentController","ActionId":"953ebaf4-e600-4909-b89c-fec742d156db","ActionName":"xyz_university_payment_api.Controllers.PaymentController.NotifyPayment (xyz-university-payment-api)","RequestId":"0HNDEVLD5CSLV:00000001","RequestPath":"/api/payment/notify","ConnectionId":"0HNDEVLD5CSLV","MachineName":"DESKTOP-F3AMJ10","ThreadId":32,"ProcessId":16296,"Application":"XYZ University Payment API","Environment":"Development"}
